"business_id","name","city","state","postal_code","latitude","longitude","average_stars","review_count","categories","WiFi","BikeParking","BusinessParking","BusinessAcceptsCreditCards","RestaurantsReservations","Caters","OutdoorSeating","RestaurantsGoodForGroups","price","Ambience","HasTV","Alcohol","GoodForMeal","RestaurantsTakeOut","NoiseLevel","RestaurantsAttire","RestaurantsDelivery","GoodForKids"
"O3RHSf2olTHNa_Artt-TWA","Maria Bonita","Cambridge","MA","02140",42.3983409,-71.1310318,3,16,"Mexican, Restaurants",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","True","False",NA,"False","False",1,NA,NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","True",NA,"'casual'","True","True"
"eoPQPSlbhHrxP0Ev5KSqhg","Leisure Station","Cambridge","MA","02142",42.3642628,-71.0817289,4,79,"Coffee & Tea, Taiwanese, Food, Restaurants","u'free'",NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","False",NA,"False","True",1,NA,NA,"u'none'",NA,"True",NA,"u'casual'","True","True"
"jxTZafP6SAsFEZzNmjQqbQ","Moksa Restaurant","Cambridge","MA","02139",42.3635963252,-71.1010352921,3,222,"Asian Fusion, Japanese, Tapas Bars, Bars, Chinese, Nightlife, Sushi Bars, Restaurants","u'free'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","True","True","True","True",2,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}","True","u'full_bar'",NA,"True","u'average'","u'casual'","True","False"
"QF4McYH5huGxgwOC2-Rxmg","Shinkansen","Cambridge","MA","02139",42.359014,-71.0947224,3,21,"Restaurants, Japanese",NA,"True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","True","False",NA,"False","False",1,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","True","'none'","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","True",NA,"'casual'","True","False"
"ZKCNsUCkZiTZ-UoOyjXyvg","Harvard Market","Cambridge","MA","02138",42.3749663,-71.1092708,3.5,34,"Convenience Stores, Delis, Food, Restaurants","'no'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","False","True","False","False",1,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","True","'none'",NA,"True","u'quiet'","'casual'","True","True"
"-YNES0U-xc2pNNqkQr2lQQ","Cinderella's Bar & Resturant","Cambridge","MA","02139",42.3636165,-71.0995668,3,227,"Pizza, Italian, Restaurants",NA,"True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","False","True","False","True",1,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","False","'beer_and_wine'","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","True","u'average'","'casual'","True","True"
"s2WWkUxJ8lCQEzjpYpDfUg","Bengal Cafe","Cambridge","MA","02140",42.3945425,-71.1266569,2.5,21,"Food, Restaurants, Ethnic Food, Specialty Food, Indian",NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","True",NA,"False","True",2,NA,NA,"u'none'",NA,"True",NA,"'casual'","True","False"
"CoZmZKv2lCYd-UoAsAUobA","Asmara Restaurant","Cambridge","MA","02139",42.3665057,-71.1049842,4,344,"Ethiopian, Bars, Beer Bar, African, Restaurants, Eritrean, Nightlife","u'no'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","True","True","False","True",2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","True","'beer_and_wine'","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","True","u'average'","'casual'","True","True"
"_oFjSOkTlCjIAvgprpCLig","Silk Road Uyghur Cuisine","Cambridge","MA","02141",42.3721312,-71.0871255,4,131,"Chinese, Uzbek, Noodles, Halal, Asian Fusion, Restaurants","u'free'","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","True","True","True","False","True",2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","True","u'none'","{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}","True","u'average'","'casual'","True","True"
"9h_GxPME_6Lc14apxfFu_g","Al-Hoda Market","Cambridge","MA","02139",42.3727438,-71.0984079,3,18,"Food, Grocery, Restaurants, Halal",NA,"False","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","True",NA,NA,NA,NA,1,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,NA
